"","DPVAT_1","DPVAT_2","NDPVAT_3","DPVAT_4","OVF_5","SAF_6","NDPVAT_7","DPVAT_8","OVF_9","SAF_10","NDPVAT_11","DPVAT_12","OVF_13","SAF_14","NDPVAT_15","DPVAT_16","SAF_17","NDPVAT_18","NDPVAT_19","SAF_20","SAF_21","DPVAT_22","DPVAT_23","DPVAT_24","SAF_25","DPVAT_26","NDPVAT_27","SAF_28","OVF_29","NDPVAT_30","SAF_31","OVF_32","DPVAT_33","DPVAT_34","NDPVAT_35","SAF_36","DPVAT_37","SAF_38","NDPVAT_39","DPVAT_40","NDPVAT_41","NDPVAT_42","NDPVAT_43","NDPVAT_44","SAF_45","DPVAT_46","SAF_47","SAF_48","NDPVAT_49","OVF_50","SAF_51","NDPVAT_52","SAF_53","NDPVAT_54","DPVAT_55","OVF_56","OVF_57","DPVAT_58","SAF_59","OVF_60","NDPVAT_61","OVF_62","DPVAT_63","OVF_64","SAF_65","SAF_66","DPVAT_67","NDPVAT_68","OVF_69","OVF_70","OVF_71","OVF_72","OVF_73","NDPVAT_74","OVF_75","DPVAT_76","SAF_77","NDPVAT_78","DPVAT_79","OVF_80","SAF_81","OVF_82","DPVAT_83","NDPVAT_84","OVF_85","OVF_86","OVF_87","NDPVAT_88","SAF_89","OVF_90","DPVAT_91","OVF_92","DPVAT_93","NDPVAT_94","SAF_95","NDPVAT_96","DPVAT_97","OVF_98","SAF_99","SAF_100","DPVAT_101","OVF_102","NDPVAT_103","DPVAT_104","SAF_105","OVF_106","NDPVAT_107","SAF_108","DPVAT_109","DPVAT_110","NDPVAT_111","SAF_112","NDPVAT_113","OVF_114","OVF_115","SAF_116","OVF_117","DPVAT_118","NDPVAT_119"
"CYR61",10.16549,10.26198,8.240091,11.29344,8.359877,8.261573,8.668102,11.34216,7.799851,8.205222,8.255833,9.311556,7.918214,8.712703,7.306234,10.43405,8.413099,8.371235,7.267653,9.894937,9.87124,10.58441,8.675848,11.36884,7.981853,10.65796,7.959238,7.579172,7.919892,7.654462,7.737698,7.709536,11.9261,12.24177,8.750214,9.367317,11.39401,8.139146,8.563156,8.252777,7.75887,8.267392,8.036587,8.068451,8.878089,10.48881,8.036838,10.86744,7.579057,8.274221,7.583496,7.784771,7.693219,7.159046,10.00867,7.276923,7.516719,8.396083,7.767974,7.883092,8.620364,7.983777,7.846758,7.715862,8.575802,7.932284,9.84577,7.605651,8.725836,7.657881,7.452713,7.805272,8.085465,6.770241,7.650718,10.04578,7.523258,7.963668,11.40537,7.865326,10.05581,8.595294,9.577667,8.038495,7.665928,8.67397,7.649716,7.719584,7.563164,8.094757,11.6563,7.406456,10.07609,8.0815,9.901428,8.050996,9.690404,7.55509,9.6194,7.490423,8.799951,7.384419,7.484458,12.63779,8.594698,7.743987,11.58426,7.677129,10.85377,9.207931,7.90178,8.630224,7.134441,7.363479,8.406793,7.376114,7.653608,7.751129,7.983981
"EGR1",10.97638,11.18688,8.764421,12.40261,9.075548,8.98363,8.907024,12.48613,8.737166,8.39251,8.902346,11.49117,8.485668,9.012997,8.245196,11.95899,8.618987,9.859457,8.20467,10.48095,10.90773,11.42179,9.140719,11.62646,8.130896,11.72551,8.725898,8.30534,8.287674,8.222741,8.111193,8.307203,12.78637,12.98138,10.14112,9.235396,12.32212,8.578884,9.382733,8.801418,8.910122,8.85045,8.821025,7.793183,9.14661,12.11548,8.216216,11.09634,8.32207,8.65145,8.336068,8.379454,8.502428,8.994205,11.48323,7.891266,8.285959,10.12363,8.48941,8.41176,9.876607,7.805197,8.287382,7.56598,8.667339,7.939414,11.34193,8.791301,9.46232,7.492322,8.05094,8.814177,8.920783,8.502551,8.423925,10.80296,8.309986,8.945389,12.36911,8.930968,11.80171,10.36346,10.92251,8.912544,7.690051,10.32455,7.698587,8.572434,8.258706,7.796977,11.78806,8.378362,11.69782,8.926744,11.23018,8.438733,11.45154,7.870646,10.5993,9.197112,10.2421,8.244502,8.280198,13.69509,8.853193,8.017118,13.32962,8.842046,12.25723,11.22664,8.324266,10.15996,8.287537,8.238623,8.643259,7.964114,8.152832,8.902814,8.831155
"ZFP36",11.38531,11.96804,9.87211,12.52056,10.00419,9.631084,9.951908,12.50468,9.68557,9.303495,9.864885,11.62079,9.657104,9.729141,9.820299,11.70736,9.549186,10.31258,10.08132,11.15693,11.68146,12.08134,9.977457,11.87786,9.571231,11.78869,9.571419,9.572691,9.168518,9.76107,9.718586,9.059532,12.89735,13.14106,10.23386,10.96322,12.64623,9.34693,10.29784,9.400515,9.618992,9.276916,9.60742,8.464479,9.631287,12.05365,9.241286,10.71619,9.637423,9.026972,9.016509,9.470858,10.05262,10.43062,11.69571,9.70815,9.619241,10.51674,9.245157,9.161897,10.01817,9.124371,9.571881,8.869823,9.097461,8.634219,11.02163,9.996508,9.723437,8.472928,9.020314,9.005713,9.26563,10.28543,10.21001,11.86139,9.565092,10.4299,12.48932,10.13551,12.79773,11.11098,11.83384,10.45075,9.480746,11.0912,9.319175,8.963684,9.031211,8.9822,12.15621,9.522897,11.37812,9.454616,11.73018,9.78848,12.13785,9.573685,11.13398,9.451775,10.60078,9.163827,9.139286,13.04741,9.359149,9.686852,12.95849,9.585628,12.57335,11.85256,9.733934,10.67924,9.230895,9.249394,9.252147,9.042378,9.177075,9.609793,9.800614
"DUSP1",11.48931,11.92719,10.19464,12.66257,9.613796,9.677478,10.17394,12.84948,9.608826,9.789449,10.49199,11.93718,11.46374,11.04549,9.471946,12.47914,9.068917,9.653252,8.690436,11.17075,11.91312,12.53216,11.54829,12.47109,9.612709,12.34686,10.5223,9.256253,10.12217,9.550136,9.231944,9.401801,13.76564,13.41402,11.19391,11.67707,12.89266,9.559354,11.8633,10.67751,9.665857,10.75606,11.29113,9.002121,10.73324,11.82538,10.60236,12.1186,9.065284,9.573596,9.282154,10.51063,9.593574,8.475647,12.61917,9.047602,9.663536,10.9042,9.483198,9.653481,10.73151,9.054179,10.03066,9.15815,9.062003,9.074895,11.5639,10.41521,10.47235,8.157252,8.822563,8.770263,9.278763,8.167145,9.818182,11.93871,9.294513,9.965005,12.94482,10.62467,12.67807,12.14128,11.99795,10.70898,9.756443,12.22147,9.73901,8.805027,9.615098,8.656227,12.23535,9.629439,11.95457,10.01441,11.44991,9.835885,12.51638,9.26134,11.59673,8.559547,11.61032,8.883982,10.0203,13.34203,10.16862,10.61002,13.47591,9.870231,13.08446,12.3597,10.02566,11.24702,9.551011,9.42952,9.764379,9.215037,9.302291,10.56748,9.931325
"KLF4",8.27991,9.021963,8.241633,9.602001,8.593793,8.257233,8.500686,9.557542,8.712471,8.13413,8.862762,8.945856,8.699384,8.395368,7.948344,10.05184,8.152356,8.2227,6.899796,7.884344,8.690346,10.06402,9.727828,9.511925,8.704932,9.367552,8.679319,8.140613,8.940258,8.658326,8.78201,8.715799,10.99554,10.50506,8.186698,8.809959,10.20275,8.400164,8.659272,9.073285,9.369247,8.551867,9.271014,8.914021,8.812484,10.11665,8.963176,9.10936,7.963348,9.058413,8.861922,8.376493,7.927581,7.278991,9.074521,8.792332,8.543188,8.919088,8.30289,8.586334,8.459836,8.140705,8.652843,8.237391,7.786805,8.254013,9.70468,7.230104,8.7229,8.121305,8.422635,8.039037,9.239861,7.390646,8.64993,9.139955,8.407346,7.141916,9.836017,8.689553,9.983297,9.521951,9.69191,8.915409,8.94072,9.557064,9.17809,8.464256,8.841122,8.264575,9.537248,8.535099,9.571627,8.197101,8.531628,8.200318,9.434709,8.953474,8.701066,7.589107,10.04483,8.369435,8.594633,10.69141,8.43032,8.805288,10.87095,8.309121,10.49558,8.928154,7.987977,8.479388,8.46014,8.481686,9.374946,8.528196,8.815323,8.4474,8.509641
"CXCL8",6.839282,6.975889,6.644896,7.798282,6.727491,6.78716,6.972058,7.646447,7.742258,6.977394,6.848313,7.270407,6.805728,6.708897,6.699629,7.870631,6.777164,6.761204,7.03385,6.860414,6.964715,7.595167,6.98984,6.943828,6.836668,8.951377,6.784462,6.764845,6.667979,6.829996,6.650092,6.823571,8.858471,9.117695,6.660919,6.8781,8.063736,6.660368,6.841423,6.686675,6.753921,6.720328,6.851307,6.943027,6.772175,7.333098,6.808723,6.874882,6.797592,6.768529,6.746458,6.844653,6.695598,6.83614,7.724989,6.656781,7.074154,10.35109,6.770587,6.972835,6.948269,6.737008,6.846842,7.08319,7.465638,6.679526,7.376575,6.707766,6.736799,6.709621,6.890888,6.808298,6.678924,6.670913,6.785697,7.846674,6.688877,6.788712,9.732388,6.542632,8.109286,7.194403,7.328228,6.891034,6.78342,7.35385,7.039912,6.653645,6.844631,6.774042,8.045111,6.90667,7.571471,6.765169,7.500663,6.617558,8.420907,6.719948,6.904553,6.713145,8.202119,6.792224,6.692364,8.757159,6.797755,6.786737,8.071012,6.794598,8.449671,8.197288,6.821149,6.855125,6.863089,6.67253,6.683541,6.72296,6.886113,6.792626,7.132643
"SOCS3",7.604091,8.024299,6.924893,8.975727,7.028231,6.805727,7.000123,8.323146,6.976531,6.895373,7.241968,7.767806,7.16085,6.845027,6.902629,8.150438,6.853364,8.210566,7.047494,7.165575,7.446948,7.377465,6.993014,8.361592,7.167932,7.707217,6.680688,6.964802,6.899902,6.863034,6.947373,6.939441,8.506389,9.467805,7.011535,7.141605,8.805413,6.985152,6.895687,6.830136,7.189423,6.882323,6.879124,6.760873,6.749795,9.00245,6.915437,7.189466,6.917118,6.904931,6.878709,6.858274,6.945486,6.950105,7.930764,6.996759,6.948215,7.637295,6.916155,6.908806,7.086419,6.815093,7.1555,6.777965,6.962953,6.943838,7.623875,6.842478,6.828037,6.961321,6.790905,6.763559,6.878082,7.014442,6.733184,7.76147,6.86379,7.048463,9.465392,6.838686,8.779336,7.251377,7.72151,7.173173,6.704295,7.097887,6.757868,6.935029,6.931301,6.870767,8.661916,6.854203,7.933721,7.3186,8.12192,6.852291,7.542961,6.717047,7.187783,6.759663,6.97175,7.020421,6.701853,9.271673,6.804081,6.868744,8.679471,6.82169,8.013775,7.379211,6.757755,6.941283,7.080135,6.792265,6.718353,6.771494,6.8926,6.815365,7.302715
"RGS2",9.16696,9.827964,8.844527,10.40404,8.339604,8.600138,9.053708,10.07013,8.415537,8.682595,8.878554,9.745352,8.211107,8.849314,8.975917,10.80003,8.695118,8.564179,8.581181,8.844356,8.630049,10.00445,9.795888,10.25113,8.939316,12.66353,9.441659,8.573046,8.325727,10.08514,8.369682,9.089778,11.42575,10.94338,9.143854,8.974081,10.37169,8.392697,9.407878,8.798408,9.633257,9.148198,9.321404,10.35078,8.551133,9.973766,8.521479,9.40306,8.872846,8.558744,8.275505,9.950888,8.207183,8.325653,10.91496,8.450315,8.502994,9.430434,8.747632,8.416326,9.922203,8.322294,9.293635,8.362425,8.936403,9.026266,11.09545,9.259249,8.874392,8.755915,8.337324,8.722749,8.704554,8.656312,8.37158,10.78838,8.719513,9.091237,11.33551,8.391711,9.36751,9.527125,10.20641,10.07546,9.271931,9.668118,9.168151,8.571925,8.634702,8.124089,10.18973,8.099479,11.32594,9.376559,8.428286,8.208568,10.42692,8.433062,9.607369,8.459337,9.554381,8.354734,8.554144,11.99949,8.233923,8.259834,11.42132,8.485479,11.44343,11.00606,9.298243,9.084499,8.916918,8.295662,8.997298,8.672921,8.137157,8.970474,8.248007
"EGR2",7.903578,7.81811,7.050083,9.879184,6.964124,7.035242,7.32121,9.400369,7.392977,7.113901,7.160118,7.900575,6.939942,6.937445,7.204036,8.845045,6.874222,6.899502,7.163607,7.144586,7.758477,8.866477,6.966316,8.73994,6.745305,8.061733,6.975204,7.007095,6.785314,7.199373,6.871198,7.256424,10.23462,9.798722,7.392618,6.864454,8.591057,6.995158,7.06128,6.869019,7.140615,7.093998,7.135858,6.818743,7.031558,7.812125,6.871719,7.216279,7.48604,7.282071,6.861133,6.934272,6.787833,7.831215,8.771911,6.68912,6.77292,7.231628,6.842135,7.229126,7.566402,6.89993,7.070246,7.224766,7.012971,6.786922,8.031007,7.334588,6.990281,6.779731,6.810297,6.90793,7.233563,7.592141,6.879105,8.074568,6.854019,7.440448,10.53671,6.924905,8.261219,7.325631,7.639524,7.014683,6.675806,7.410056,6.874531,7.12992,6.745216,6.744939,9.087638,7.335388,8.018628,6.792504,7.98138,7.074387,8.392061,6.864637,7.982988,7.074233,7.313822,7.233338,6.781253,10.67938,6.892533,6.797908,9.919413,6.83088,9.895072,8.398998,6.753317,6.985692,6.899152,6.717898,6.985203,6.797084,6.726305,6.865459,6.963772
"NR4A2",7.865138,8.50862,7.003758,9.07076,6.953594,7.077277,7.009343,9.240088,7.1463,6.860084,7.542084,7.978984,7.456843,7.137228,7.067385,9.292992,6.945233,6.971354,7.149285,7.692438,8.387133,9.801697,7.208951,10.068,7.396227,8.174347,7.284768,7.011996,7.554611,7.751692,7.111138,7.278285,11.05129,9.924961,7.958396,7.092819,9.802587,6.998226,8.13114,7.141925,7.78801,7.275959,7.829438,7.070166,7.627115,8.096954,7.019927,8.258172,7.167064,7.041832,7.02622,7.570461,6.87392,7.444804,9.187803,7.200434,7.201049,7.532567,7.198195,7.042606,7.761573,7.384184,6.996639,7.240834,7.370089,7.316687,9.013372,7.25574,7.698213,7.313418,7.257768,7.424975,7.645933,7.009918,7.391245,8.648625,7.085066,7.392055,11.37902,7.410353,8.885826,8.285737,8.466844,7.294073,7.186006,8.281188,7.1821,7.216285,7.209519,7.283989,9.888596,7.388711,9.074246,7.051145,7.847598,8.449505,9.170705,7.307377,9.026281,7.062708,7.956551,7.377669,7.523543,12.29841,6.991371,7.502655,11.51312,7.115724,10.84203,10.20187,7.186134,7.72947,7.294033,7.397995,7.621555,7.041752,7.230279,7.383612,7.167872
