GSM,D_PVAT,ND_PVAT,PVAT,OVF,SAF
GSM3381381,1,0,1,0,0
GSM3381382,1,0,1,0,0
GSM3381383,0,1,1,0,0
GSM3381384,1,0,1,0,0
GSM3381385,0,0,0,0,1
GSM3381387,0,0,0,1,0
GSM3381389,0,1,1,0,0
GSM3381391,1,0,1,0,0
GSM3381394,0,0,0,0,1
GSM3381396,0,0,0,1,0
GSM3381397,0,1,1,0,0
GSM3381398,1,0,1,0,0
GSM3381399,0,0,0,0,1
GSM3381400,0,0,0,1,0
GSM3381401,0,1,1,0,0
GSM3381402,1,0,1,0,0
GSM3381403,0,0,0,1,0
GSM3381404,0,1,1,0,0
GSM3381405,0,1,1,0,0
GSM3381406,0,0,0,1,0
GSM3381407,0,0,0,1,0
GSM3381408,1,0,1,0,0
GSM3381409,1,0,1,0,0
GSM3381410,1,0,1,0,0
GSM3381411,0,0,0,1,0
GSM3381412,1,0,1,0,0
GSM3381413,0,1,1,0,0
GSM3381414,0,0,0,1,0
GSM3381415,0,0,0,0,1
GSM3381416,0,1,1,0,0
GSM3381417,0,0,0,1,0
GSM3381418,0,0,0,0,1
GSM3381419,1,0,1,0,0
GSM3381420,1,0,1,0,0
GSM3381421,0,1,1,0,0
GSM3381422,0,0,0,1,0
GSM3381423,1,0,1,0,0
GSM3381424,0,0,0,1,0
GSM3381425,0,1,1,0,0
GSM3381426,1,0,1,0,0
GSM3381427,0,1,1,0,0
GSM3381428,0,1,1,0,0
GSM3381429,0,1,1,0,0
GSM3381430,0,1,1,0,0
GSM3381431,0,0,0,1,0
GSM3381432,1,0,1,0,0
GSM3381433,0,0,0,1,0
GSM3381434,0,0,0,1,0
GSM3381435,0,1,1,0,0
GSM3381436,0,0,0,0,1
GSM3381437,0,0,0,1,0
GSM3381438,0,1,1,0,0
GSM3381439,0,0,0,1,0
GSM3381440,0,1,1,0,0
GSM3381441,1,0,1,0,0
GSM3381442,0,0,0,0,1
GSM3381443,0,0,0,0,1
GSM3381444,1,0,1,0,0
GSM3381445,0,0,0,1,0
GSM3381446,0,0,0,0,1
GSM3381447,0,1,1,0,0
GSM3381448,0,0,0,0,1
GSM3381449,1,0,1,0,0
GSM3381450,0,0,0,0,1
GSM3381451,0,0,0,1,0
GSM3381452,0,0,0,1,0
GSM3381453,1,0,1,0,0
GSM3381454,0,1,1,0,0
GSM3381455,0,0,0,0,1
GSM3381456,0,0,0,0,1
GSM3381457,0,0,0,0,1
GSM3381458,0,0,0,0,1
GSM3381459,0,0,0,0,1
GSM3381460,0,1,1,0,0
GSM3381461,0,0,0,0,1
GSM3381462,1,0,1,0,0
GSM3381463,0,0,0,1,0
GSM3381464,0,1,1,0,0
GSM3381465,1,0,1,0,0
GSM3381466,0,0,0,0,1
GSM3381467,0,0,0,1,0
GSM3381468,0,0,0,0,1
GSM3381469,1,0,1,0,0
GSM3381470,0,1,1,0,0
GSM3381471,0,0,0,0,1
GSM3381472,0,0,0,0,1
GSM3381473,0,0,0,0,1
GSM3381474,0,1,1,0,0
GSM3381475,0,0,0,1,0
GSM3381476,0,0,0,0,1
GSM3381477,1,0,1,0,0
GSM3381478,0,0,0,0,1
GSM3381479,1,0,1,0,0
GSM3381480,0,1,1,0,0
GSM3381481,0,0,0,1,0
GSM3381482,0,1,1,0,0
GSM3381483,1,0,1,0,0
GSM3381484,0,0,0,0,1
GSM3381485,0,0,0,1,0
GSM3381486,0,0,0,1,0
GSM3381487,1,0,1,0,0
GSM3381488,0,0,0,0,1
GSM3381489,0,1,1,0,0
GSM3381490,1,0,1,0,0
GSM3381491,0,0,0,1,0
GSM3381492,0,0,0,0,1
GSM3381493,0,1,1,0,0
GSM3381494,0,0,0,1,0
GSM3381495,1,0,1,0,0
GSM3381496,1,0,1,0,0
GSM3381497,0,1,1,0,0
GSM3381498,0,0,0,1,0
GSM3381499,0,1,1,0,0
GSM3381500,0,0,0,0,1
GSM3381501,0,0,0,0,1
GSM3381502,0,0,0,1,0
GSM3381503,0,0,0,0,1
GSM3381504,1,0,1,0,0
GSM3381505,0,1,1,0,0
